text,label
"Selamat kamu menang hadiah dari shopee",penipuan
"Promo undian hadiah pulsa gratis",penipuan
"Selamat anda pemenang hadiah undian bank",penipuan
"Klik link ini untuk klaim hadiah anda",penipuan
"Transfer biaya admin untuk menerima hadiah",penipuan
"Klik link ini untuk situs gacor terbaru",judi
"Main judi online terpercaya slot gacor",judi
"Bocoran togel hari ini dijamin tembus",judi
"Ayo daftar di situs judi bola terpercaya",judi
"Dapatkan jackpot besar di situs slot gacor",judi
"Vaksin membuat mandul, jangan percaya pemerintah",hoax
"Pemerintah menyembunyikan kebenaran tentang virus",hoax
"Obat herbal ini dijamin sembuhkan covid",hoax
"Konspirasi global elit dunia",hoax
"5G menyebabkan penyakit misterius",hoax
"Mari kita belajar bersama untuk ujian sekolah",aman
"Ada diskon produk elektronik minggu ini",aman
"Halo apa kabar teman teman",aman
"Jadwal pertandingan sepak bola malam ini",aman
"Tips memasak sehat untuk keluarga",aman
"Promo undian hadiah pulsa",penipuan
"Info judi bola hari ini",judi
"Berita palsu tentang vaksin",hoax
"Cara membuat kue yang enak",aman
"Undian berhadiah mobil mewah hanya hari ini",penipuan
"Transfer uang ke rekening ini untuk hadiah",penipuan
"Selamat Anda terpilih sebagai pemenang utama",penipuan
"Klik tautan berikut untuk klaim hadiah Anda",penipuan
"Hadiah akan hangus jika tidak segera diklaim",penipuan
"Mainkan slot online dan menangkan jutaan rupiah",judi
"Daftar sekarang di situs judi terpercaya",judi
"Prediksi togel akurat malam ini",judi
"Bonus deposit 100% untuk member baru",judi
"Link alternatif judi bola terbaru",judi
"Vaksin menyebabkan autisme pada anak",hoax
"Obat herbal ini bisa menyembuhkan semua penyakit",hoax
"Konspirasi pemerintah tentang chip dalam vaksin",hoax
"Berita palsu tentang artis terkenal meninggal",hoax
"5G adalah penyebab utama pandemi",hoax
"Selamat pagi, semoga harimu menyenangkan",aman
"Jangan lupa sarapan sebelum beraktivitas",aman
"Tips belajar efektif untuk ujian nasional",aman
"Resep masakan sederhana untuk keluarga",aman
"Jadwal kereta api terbaru hari ini",aman
"Promo undian hadiah motor gratis",penipuan
"Info slot gacor hari ini",judi
"Berita hoax tentang selebriti",hoax
"Panduan membuat kue ulang tahun",aman
"Diskon besar-besaran di toko elektronik",aman
